Date,Open,High,Low,Close,Volume,Adj Close
2009-05-21,184500,189500,181000,183500,378000,175097.13
2009-05-22,183000,195000,181500,184000,588400,175574.23
2009-05-25,183000,186500,156500,184000,373200,175574.23
2009-05-26,186000,188000,178000,183500,284600,175097.13
2009-05-27,185500,187000,172500,173000,320400,165077.95
2009-05-28,168500,175500,162000,174500,372100,166509.26
2009-05-29,174500,188000,169000,188000,984900,179391.06
2009-06-01,187500,199500,184000,193000,516300,184162.1
2009-06-02,197000,201500,191000,193000,309600,184162.1
2009-06-03,196500,196500,186500,192500,234000,183685
2009-06-04,192000,194000,181000,181000,257600,172711.61
2009-06-05,180000,186000,176000,184000,306700,175574.23
2009-06-08,183000,187500,178500,183500,192100,175097.13
2009-06-09,183500,184500,168000,168000,481100,160306.91
2009-06-10,170000,177000,167000,173000,414700,165077.95
2009-06-11,173500,175500,168000,171000,389600,163169.53
2009-06-12,174000,177500,170000,172500,201700,164600.84
2009-06-15,170000,172000,163000,166500,266200,158875.6
2009-06-16,165000,178000,163000,172000,460200,164123.74
2009-06-17,171500,174000,165000,168000,268800,160306.91
2009-06-18,170000,172000,165500,168500,179500,160784.01
2009-06-19,170000,176500,166500,176000,326500,167940.57
2009-06-22,174500,178000,172500,174000,152000,166032.15
2009-06-23,171000,171500,164500,167000,194600,159352.7
2009-06-24,166000,167000,159000,166500,238400,158875.6
2009-06-25,169000,173000,167500,173000,284200,165077.95
2009-06-26,174500,177000,172000,176500,198500,168417.67
2009-06-29,178000,180000,174000,178500,201800,170326.09
2009-06-30,180500,183000,177000,183000,312000,174620.02
2009-07-01,181000,182000,177000,181000,270400,172711.61
2009-07-02,180000,182500,177500,179500,147100,171280.3
2009-07-03,176000,182500,176000,182000,161800,173665.82
2009-07-06,184000,188000,182500,186500,265200,177959.75
2009-07-07,189500,192000,184000,185000,337300,176528.44
2009-07-08,182000,188000,178000,181000,239800,172711.61
2009-07-09,178000,179000,155000,160500,1705800,153150.35
2009-07-10,162500,164500,157500,161000,547000,153627.45
2009-07-13,157500,159000,142000,142500,813400,135974.61
2009-07-14,147500,149000,130500,136000,940100,129772.26
2009-07-15,142500,148000,140500,148000,746200,141222.75
2009-07-16,148500,152000,136000,141000,741200,134543.3
2009-07-17,144000,145000,137500,144000,473400,137405.92
2009-07-20,144500,146000,140500,143500,505600,136928.82
2009-07-21,144000,151000,143500,145000,588800,138360.13
2009-07-22,146000,146500,132000,140000,1055100,133589.09
2009-07-23,137500,140000,133500,134000,559500,127863.84
2009-07-24,135500,137000,128000,130500,878800,124524.12
2009-07-27,130500,138000,130500,137500,622200,131203.57
2009-07-28,139500,142000,135000,135000,553200,128818.05
2009-07-29,134000,136000,129500,130000,546000,124047.01
2009-07-30,131500,137000,129000,137000,536000,130726.47
2009-07-31,137000,137500,131500,133000,503400,126909.63
2009-08-03,133500,145000,133500,144000,1015000,137405.92
2009-08-04,146000,146000,138500,142000,830400,135497.5
2009-08-05,142000,143000,136000,138500,744200,132157.78
2009-08-06,137000,146500,136000,146500,789400,139791.44
2009-08-07,147000,147500,137000,137500,1107300,131203.57
2009-08-10,135000,135500,125500,131500,1447700,125478.32
2009-08-11,131000,134500,129000,131000,603800,125001.22
2009-08-12,132000,135500,132000,133500,461800,127386.74
2009-08-13,135000,138500,132000,132000,506500,125955.43
2009-08-14,133500,134500,123500,124500,1286700,118798.87
2009-08-17,123500,123500,115000,116000,953200,110688.1
2009-08-18,116500,122500,111500,122000,1204500,116413.35
2009-08-19,124000,127000,120000,123500,676600,117844.66
2009-08-20,126500,130500,125500,129500,700400,123569.91
2009-08-21,132000,136000,131000,136000,697400,129772.26
2009-08-24,138000,138000,132500,137500,518900,131203.57
2009-08-25,136000,140000,134000,134000,260000,127863.84
2009-08-26,139000,149000,138500,147500,1245100,140745.65
2009-08-27,147000,148000,141000,143500,524500,136928.82
2009-08-28,145000,145500,136500,141000,503200,134543.3
2009-08-31,140000,142500,136000,137000,275200,130726.47
2009-09-01,136500,143500,136500,143000,396900,136451.71
2009-09-02,140500,146000,139000,142500,296700,135974.61
2009-09-03,143000,150000,142500,146000,532400,139314.34
2009-09-04,148500,148500,142500,143000,309400,136451.71
2009-09-07,150000,156500,148500,151500,829000,144562.48
2009-09-08,153500,159000,149500,157000,475200,149810.62
2009-09-09,157500,157500,150000,153000,422600,145993.79
2009-09-10,152500,153000,146000,147500,547800,140745.65
2009-09-11,147000,151500,145000,151500,300100,144562.48
2009-09-14,151000,155000,148000,148500,275000,141699.86
2009-09-15,147500,149500,142000,142500,474700,135974.61
2009-09-16,145500,151000,144500,148000,516900,141222.75
2009-09-17,150500,154000,146000,154000,449700,146948
2009-09-18,156000,156000,149000,153000,421200,145993.79
2009-09-21,152500,155000,150000,150000,265200,143131.17
2009-09-22,153500,161500,152000,161000,697600,153627.45
2009-09-23,163500,166000,158000,162000,535000,154581.66
2009-09-24,162000,164000,157000,160000,265200,152673.24
2009-09-25,160500,168000,158000,168000,463700,160306.91
2009-09-28,167000,168000,164000,164500,297400,156967.18
2009-09-29,166500,167500,159000,166000,464000,158398.49
2009-09-30,167000,173000,166500,169000,637400,161261.11
2009-10-01,171500,174000,165500,169000,424900,161261.11
2009-10-05,166000,167000,149500,151500,505900,144562.48
2009-10-06,156500,157500,151000,155500,363300,148379.31
2009-10-07,158000,165500,157000,163500,476700,156012.97
2009-10-08,163000,163500,153000,158000,367000,150764.83
