Date,Open,High,Low,Close,Volume,Adj Close
2004-09-30,453000,459000,453000,458000,532000,431874.74
2004-10-01,458000,463500,456000,461000,530600,434703.61
2004-10-04,471000,490000,471000,490000,636600,462049.39
2004-10-05,493000,493000,484000,488000,463300,460163.47
2004-10-06,489500,501000,485000,494500,723000,466292.7
2004-10-07,491000,494500,482000,488000,362900,460163.47
2004-10-08,483000,487500,474500,476500,836000,449319.46
2004-10-11,470500,472500,465500,466500,768300,439889.88
2004-10-12,464000,464000,446000,446000,1061700,420559.24
2004-10-13,447000,451000,446500,449000,727800,423388.11
2004-10-14,448000,448000,437000,444000,1017000,418673.32
2004-10-15,441000,446500,436500,437000,1293900,412072.62
2004-10-18,432000,436000,428000,432500,742500,407829.31
2004-10-19,440000,443500,436000,438500,528200,413487.06
2004-10-20,431000,439000,427500,428500,498300,404057.48
2004-10-21,428500,436000,427500,429000,583300,404528.96
2004-10-22,435000,441500,434000,437500,465800,412544.1
2004-10-25,433000,433000,424500,428000,630600,403586
2004-10-26,429500,433500,429000,430000,274800,405471.91
2004-10-27,433500,435000,424500,429000,531900,404528.96
2004-10-28,441000,442500,434000,439500,453500,414430.01
2004-10-29,438000,440000,432500,439500,535200,414430.01
2004-11-01,437500,441000,433000,439500,227800,414430.01
2004-11-02,436000,443000,436000,440000,329000,414901.49
2004-11-03,442000,455000,441000,455000,504300,429045.86
2004-11-04,456000,456500,448000,448000,601600,422445.16
2004-11-05,452000,454000,449500,452500,641100,426688.47
2004-11-08,458500,458500,440000,440000,422800,414901.49
2004-11-09,434500,437500,430000,431000,535500,406414.87
2004-11-10,432000,439000,432000,439000,366000,413958.53
2004-11-11,439000,443000,435500,437000,610800,412072.62
2004-11-12,449000,451000,443500,448500,454000,422916.64
2004-11-15,453000,460000,452500,456500,380600,430460.3
2004-11-16,459000,460000,455000,455500,495000,429517.34
2004-11-17,456000,462500,455500,461500,439500,435175.09
2004-11-18,465000,469500,460000,463500,588500,437061
2004-11-19,460000,466000,449500,454000,445100,428102.9
2004-11-22,442000,445500,436500,440000,691500,414901.49
2004-11-23,445000,445500,438000,441000,464200,415844.45
2004-11-24,438000,442000,434000,439500,463000,414430.01
